Timestamp Yaw Pitch Roll p q r
0.85 0.00 0.00 0.00 -0.00 0.00 0.00
0.91 359.94 0.00 0.00 0.11 0.04 0.03
0.96 359.94 0.00 -0.06 0.01 -0.11 -0.01
1.02 0.00 -16.00 -5.19 -0.19 0.04 0.00
1.07 0.12 -15.94 -4.62 -0.28 0.03 -0.05
1.13 0.31 -15.88 -4.25 -0.10 -0.03 -0.06
1.19 0.56 -15.75 -4.06 -0.04 -0.02 -0.04
1.24 0.56 -15.56 -4.12 0.03 -0.01 0.03
1.30 0.44 -15.44 -4.38 0.07 0.00 0.03
1.35 0.38 -15.38 -4.69 0.10 0.02 0.01
1.40 0.38 -15.44 -5.19 0.12 0.06 0.00
1.46 0.31 -15.56 -5.56 0.11 0.06 0.02
1.51 0.25 -15.69 -5.94 0.10 0.06 0.02
1.57 0.25 -15.81 -6.31 0.07 0.03 -0.00
1.62 0.25 -15.81 -6.50 0.04 0.00 0.00
1.68 0.19 -15.75 -6.62 0.00 -0.02 0.02
1.73 0.12 -15.62 -6.69 -0.03 -0.04 0.02
1.79 0.12 -15.44 -6.62 -0.05 -0.05 0.01
1.84 0.19 -15.25 -6.50 -0.06 -0.05 0.01
1.90 0.19 -15.12 -6.31 -0.06 -0.03 0.01
1.95 0.19 -15.00 -6.25 -0.05 -0.02 0.00
2.01 0.19 -14.94 -6.12 -0.03 0.01 -0.01
2.06 0.25 -14.94 -6.12 -0.01 0.02 -0.01
2.11 0.25 -15.00 -6.12 0.01 0.03 -0.01
2.17 359.25 -15.31 -7.12 1.50 0.07 1.04
2.22 0.06 -14.50 -15.31 3.17 -0.37 -1.27
2.28 2.00 -12.94 -25.25 2.54 -0.37 -0.78
2.33 3.06 -11.75 -31.19 1.84 -0.34 -0.61
2.39 3.12 -11.06 -34.81 0.90 -0.26 0.04
2.45 2.19 -11.06 -35.62 0.01 -0.16 0.38
2.50 0.50 -11.69 -33.88 -0.97 0.01 0.67
2.56 358.81 -12.69 -29.62 -1.67 0.12 0.82
