Timestamp Yaw Pitch Roll p q r
0.85 0.00 0.00 0.00 -0.00 0.00 0.00
0.91 0.00 0.00 0.00 0.03 0.00 0.03
0.96 359.94 0.00 -0.06 0.05 -0.10 -0.01
1.02 359.88 0.00 0.25 -0.19 -0.02 0.01
1.07 0.06 -14.50 -8.25 -0.25 -0.03 -0.03
1.13 0.31 -14.38 -7.50 -0.33 -0.07 -0.11
1.18 0.75 -14.19 -6.50 -0.34 0.05 -0.11
1.24 1.06 -14.00 -6.12 -0.09 -0.03 -0.06
1.30 1.19 -13.88 -6.12 0.06 -0.02 0.00
1.35 1.06 -13.88 -6.38 0.17 -0.00 0.04
1.40 0.81 -14.00 -7.00 0.25 0.05 0.06
1.46 0.50 -14.25 -7.62 0.29 0.09 0.06
1.51 0.25 -14.56 -8.38 0.28 0.10 0.05
1.57 0.06 -14.94 -9.19 0.27 0.08 0.03
1.62 359.88 -15.19 -9.75 0.22 0.08 0.04
1.68 359.69 -15.50 -10.25 0.11 0.07 0.04
1.73 359.62 -15.69 -10.38 0.02 0.05 0.00
1.79 359.69 -15.88 -10.31 -0.07 0.04 -0.02
1.84 359.81 -15.88 -10.00 -0.14 -0.01 -0.03
1.90 0.00 -15.75 -9.56 -0.16 -0.04 -0.03
1.95 0.12 -15.50 -9.12 -0.15 -0.07 -0.03
2.01 0.19 -15.25 -8.81 -0.10 -0.10 -0.02
2.06 0.19 -14.88 -8.56 -0.06 -0.14 0.02
2.11 0.12 -14.44 -8.38 -0.04 -0.14 0.04
2.17 359.94 -14.06 -8.25 -0.02 -0.11 0.03
2.22 359.88 -13.81 -8.19 -0.02 -0.07 0.03
2.28 3.00 -12.06 -15.06 2.61 -0.54 -2.02
2.33 6.94 -9.50 -22.56 2.25 -0.47 -1.51
2.39 10.25 -6.75 -28.88 1.46 -0.21 -0.99
2.44 11.88 -5.38 -32.19 0.84 -0.10 -0.48
2.50 12.19 -5.25 -33.31 -0.03 0.12 0.15
2.56 11.44 -6.44 -32.25 -0.74 0.35 0.55
2.61 9.50 -9.19 -28.06 -1.45 0.55 0.90
2.66 7.56 -11.75 -22.81 -1.90 0.64 1.05
2.72 5.56 -14.12 -16.56 -2.17 0.65 1.09
2.77 3.19 -16.50 -8.62 -2.14 0.56 1.04
2.83 1.50 -18.06 -2.56 -1.80 0.42 0.81
2.88 0.19 -19.44 2.88 -1.24 0.55 0.45
2.94 359.75 -19.88 5.31 -0.40 0.25 0.09
3.00 359.81 -19.62 5.56 0.30 -0.37 -0.09
3.05 0.25 -18.62 4.06 0.66 -0.44 -0.34
3.11 1.19 -16.81 0.69 1.04 -0.54 -0.45
3.16 1.94 -14.94 -3.00 1.26 -0.67 -0.43
3.22 2.31 -12.75 -7.69 1.36 -0.60 -0.24
3.27 2.19 -11.19 -11.44 1.33 -0.51 -0.06
3.32 1.44 -10.00 -15.06 0.79 -0.29 0.14
3.38 0.25 -9.81 -17.25 0.87 -0.17 0.38
3.43 358.75 -10.44 -18.88 0.35 0.15 0.42
3.49 357.44 -11.62 -19.31 0.09 0.35 0.46
3.55 356.25 -13.56 -18.88 -0.16 0.52 0.41
3.60 355.62 -15.25 -17.88 -0.38 0.53 0.30
3.66 355.25 -17.00 -16.00 -0.59 0.46 0.22
3.71 355.12 -18.12 -14.06 -0.70 0.35 0.18
3.77 355.12 -18.81 -12.00 -0.79 0.22 0.12
3.82 355.31 -19.25 -9.44 -0.79 0.11 0.05
3.87 355.69 -19.00 -7.56 -0.62 -0.06 -0.07
3.93 356.31 -18.25 -5.88 -0.46 -0.25 -0.17
3.98 357.06 -17.25 -4.94 -0.23 -0.38 -0.25
4.04 357.94 -15.75 -4.56 -0.10 -0.36 -0.27
4.10 358.62 -14.50 -4.62 0.05 -0.39 -0.22
4.15 359.19 -13.25 -5.12 0.19 -0.33 -0.15
4.21 359.19 -12.44 -5.81 0.32 -0.21 0.02
4.26 358.88 -11.94 -6.81 0.36 -0.10 0.06
4.32 358.56 -11.88 -7.75 0.37 0.00 0.07
4.37 358.19 -12.19 -8.88 0.36 0.14 0.08
4.43 365.94 -12.75 -9.69 0.27 0.23 0.06
4.49 365.75 -13.75 -10.44 0.19 0.47 0.04
4.54 365.75 -14.81 -10.94 0.11 0.47 -0.00
4.60 365.88 -15.81 -11.19 0.01 0.28 -0.04
4.66 366.19 -16.69 -11.12 -0.07 0.21 -0.05
4.72 366.38 -17.06 -10.88 -0.15 0.23 -0.04
4.77 366.56 -17.06 -10.25 -0.24 -0.04 -0.01
4.83 366.69 -16.81 -9.56 -0.27 -0.10 -0.01
4.89 366.81 -16.38 -8.75 -0.25 -0.01 -0.02
4.95 358.94 -15.81 -8.00 -0.21 -0.15 -0.01
5.00 358.94 -15.31 -7.44 -0.16 -0.14 0.00
5.06 358.94 -14.94 -7.06 -0.09 -0.12 0.01
5.12 366.94 -14.56 -6.88 0.01 -0.10 0.02
5.18 366.81 -14.31 -6.94 0.08 -0.06 0.03
5.23 366.62 -14.25 -7.19 0.13 0.15 0.05
5.29 366.38 -14.38 -7.62 0.15 0.05 0.05
5.35 366.25 -14.62 -8.06 0.15 0.08 0.03
5.41 366.19 -14.94 -8.50 0.13 0.21 -0.00
5.46 358.12 -15.12 -8.75 0.11 0.20 -0.00
5.52 366.12 -15.25 -9.06 0.10 0.17 0.01
5.58 366.06 -15.44 -9.38 0.06 0.19 0.02
5.63 366.00 -15.56 -9.50 0.03 0.18 0.02
5.69 365.94 -15.69 -9.44 -0.02 0.03 -0.00
5.75 366.00 -15.75 -9.31 -0.06 0.15 -0.01
5.80 358.06 -15.75 -9.12 -0.07 0.14 -0.01
5.86 366.12 -15.69 -8.94 -0.06 0.00 -0.02
5.92 366.25 -15.69 -8.75 -0.05 0.15 -0.02
5.98 366.31 -15.69 -8.69 -0.03 0.16 -0.01
6.03 366.31 -15.81 -8.56 -0.02 0.18 -0.00
6.09 366.38 -15.94 -8.50 -0.02 0.19 -0.00
6.15 358.38 -16.12 -8.50 -0.02 0.20 -0.02
6.20 358.50 -16.31 -8.44 -0.01 0.18 -0.03
6.26 366.56 -16.38 -8.44 -0.01 0.15 -0.02
6.32 366.56 -16.38 -8.44 0.00 -0.02 0.01
6.38 366.56 -16.25 -8.44 -0.00 -0.04 0.01
6.43 366.56 -16.19 -8.44 -0.01 -0.02 0.00
6.49 366.56 -16.12 -8.38 -0.02 -0.00 0.00
6.55 358.56 -16.12 -8.31 -0.03 0.15 0.00
6.61 358.56 -16.19 -8.19 -0.02 0.02 -0.00
6.66 366.56 -16.25 -8.12 -0.02 0.01 -0.00
6.72 366.56 -16.25 -8.06 -0.01 -0.02 -0.00
6.78 358.56 -16.19 -8.06 -0.01 -0.02 0.00
6.84 366.56 -16.12 -8.06 -0.00 -0.01 0.00
6.89 366.56 -16.12 -8.06 -0.01 0.14 0.00
6.95 358.56 -16.12 -8.06 -0.00 0.15 0.00
7.01 358.56 -16.19 -8.06 -0.00 0.15 0.00
7.07 366.56 -16.19 -8.06 0.01 0.00 0.00
7.13 366.56 -16.19 -8.06 0.01 -0.01 0.00
7.18 366.56 -16.19 -8.06 0.00 -0.01 0.00
7.24 358.56 -16.19 -8.06 -0.00 0.14 0.00
7.30 358.56 -16.19 -8.06 -0.01 0.01 0.00
7.36 366.56 -16.19 -8.06 -0.01 0.00 0.00
7.42 366.56 -16.19 -8.06 -0.01 -0.00 0.00
7.47 358.56 -16.19 -8.06 -0.00 -0.01 0.00
