Timestamp Yaw Pitch Roll p q r
0.85 0.00 0.00 0.00 -0.00 0.00 0.00
0.91 0.00 0.00 0.00 0.00 0.00 0.00
0.96 360.00 -14.38 -9.31 -0.00 0.00 0.00
1.02 359.94 -14.38 -9.31 0.00 0.00 0.00
1.07 359.94 -14.38 -9.31 -0.00 0.00 0.00
1.13 359.94 -14.38 -9.31 -0.00 -0.00 0.00
1.18 359.94 -14.38 -9.31 -0.00 0.00 0.00
1.23 359.94 -14.38 -9.31 0.00 0.00 0.00
1.29 359.94 -14.38 -9.31 -0.00 0.00 0.00
1.34 359.94 -14.38 -9.31 -0.00 0.00 0.00
1.40 359.94 -14.38 -9.31 -0.01 0.00 0.00
1.45 359.94 -14.38 -9.31 0.00 -0.00 0.00
1.51 359.94 -14.38 -9.31 -0.00 -0.00 0.00
1.56 359.94 -14.38 -9.31 0.00 0.00 -0.00
1.62 359.94 -14.38 -9.31 0.00 0.00 0.00
1.67 359.94 -14.38 -9.31 0.00 0.00 -0.00
1.73 359.94 -14.38 -9.31 0.00 0.00 0.00
1.78 359.94 -14.38 -9.31 0.00 0.00 0.00
1.83 359.94 -14.38 -9.31 -0.00 0.00 0.00
1.89 359.94 -14.38 -9.31 0.00 0.00 0.00
1.94 359.94 -14.38 -9.31 0.00 0.00 0.00
2.00 359.94 -14.38 -9.31 -0.00 0.00 0.00
2.05 359.94 -14.38 -9.31 0.00 0.00 -0.00
2.10 359.94 -14.38 -9.31 -0.00 0.00 0.00
2.16 359.94 -14.38 -9.31 0.00 -0.00 -0.00
2.21 359.94 -14.38 -9.31 -0.00 -0.00 0.00
2.27 0.00 -14.38 -9.38 0.03 0.00 -0.03
2.32 359.94 -15.50 -14.06 2.89 0.64 -0.49
2.38 4.62 -17.06 -27.50 3.70 0.62 -1.96
2.43 8.00 -17.25 -37.38 2.90 0.23 -1.29
2.49 9.88 -16.69 -44.19 1.62 -0.14 -0.66
2.54 10.50 -15.44 -47.94 0.47 -0.37 -0.18
2.60 9.75 -14.19 -47.81 -0.96 -0.55 0.37
2.65 7.62 -12.94 -42.62 -2.08 -0.55 0.73
2.71 5.44 -12.19 -34.81 -3.05 -0.44 0.95
2.76 3.38 -11.62 -24.75 -3.86 -0.23 0.99
2.81 1.44 -11.31 -11.00 -4.11 -0.07 0.88
2.87 0.75 -11.19 0.06 -3.76 -0.04 0.36
2.92 1.62 -11.06 9.25 -3.01 -0.14 -0.25
2.97 4.06 -11.25 16.56 -1.82 -0.16 -0.59
3.03 6.19 -11.81 19.44 -0.76 -0.05 -0.67
3.08 9.19 -12.44 18.69 0.60 -0.20 -1.06
3.14 12.19 -12.56 14.88 1.65 -0.23 -1.21
3.19 14.81 -12.44 8.19 2.69 -0.15 -1.11
3.25 17.25 -12.12 -2.25 3.26 -0.09 -0.96
3.30 18.44 -12.12 -11.94 3.44 0.02 -0.57
3.36 18.25 -12.50 -23.00 3.19 -0.05 -0.05
3.41 16.56 -13.38 -30.56 2.62 -0.24 0.48
3.46 13.38 -14.62 -35.88 1.86 -0.50 0.98
3.52 7.94 -16.38 -38.75 0.80 -0.80 1.44
3.57 2.50 -17.44 -38.06 -0.13 -0.96 1.71
3.62 356.75 -17.75 -34.81 -1.00 -1.06 1.86
3.68 350.25 -16.94 -28.12 -1.88 -1.02 1.84
3.73 345.69 -15.69 -20.88 -2.40 -0.89 1.66
3.79 342.19 -14.12 -12.94 -2.65 -0.70 1.22
3.84 339.62 -12.19 -3.81 -2.47 -0.59 0.83
3.89 338.62 -10.75 2.50 -1.89 -0.44 0.26
3.95 339.25 -9.50 7.56 -1.19 -0.37 -0.30
4.00 341.12 -9.00 9.25 -0.39 -0.23 -0.78
4.06 344.62 -8.94 9.00 0.60 -0.08 -1.29
