Timestamp Yaw Pitch Roll p q r
0.86 0.00 0.00 0.00 -0.02 0.00 0.00
0.92 0.06 3.56 0.06 0.04 -4.00 -0.10
0.97 0.56 20.12 0.00 0.09 -5.53 -0.17
1.03 1.12 33.19 0.00 0.09 -3.75 -0.18
1.08 1.69 43.44 0.00 0.12 -2.39 -0.09
1.14 2.12 46.44 0.00 0.13 0.28 -0.09
1.20 2.50 44.38 -0.19 0.12 0.92 -0.06
1.25 2.81 40.31 -0.25 0.07 1.78 -0.06
1.31 3.19 35.19 -0.31 0.09 1.46 -0.09
1.36 3.50 30.44 -0.31 0.11 2.05 -0.08
1.41 3.88 21.56 -0.62 0.14 2.82 -0.06
1.47 4.12 13.00 -1.06 0.20 3.34 -0.02
1.52 4.31 4.00 -1.62 0.22 2.89 -0.04
1.58 4.62 -3.44 -2.44 0.27 1.88 -0.05
1.63 4.88 -6.19 -3.19 0.23 0.55 -0.07
1.69 5.00 -7.25 -3.94 0.21 0.00 -0.04
1.74 5.06 -6.75 -4.44 0.13 -0.27 0.00
1.80 4.94 -6.38 -4.69 0.04 0.26 0.07
1.85 4.31 -18.50 -5.56 -0.04 1.34 0.18
1.91 3.94 -23.31 -5.12 -0.09 1.26 0.19
1.96 3.69 -24.75 -4.69 -0.11 0.10 0.12
2.02 3.50 -23.62 -4.25 -0.16 -0.71 0.08
2.07 3.31 -19.94 -3.88 0.01 -1.53 -0.03
2.12 3.31 -14.75 -4.12 0.08 -2.15 -0.11
2.18 3.38 -6.44 -4.62 0.16 -2.69 -0.14
2.23 3.44 1.06 -5.06 0.13 -2.60 -0.11
2.29 3.31 7.62 -5.44 0.11 -1.14 0.00
2.34 3.12 9.25 -5.75 0.09 -0.15 0.07
2.40 2.88 9.19 -6.00 0.07 0.10 0.11
2.45 2.50 9.19 -6.19 0.02 -0.24 0.09
2.51 2.19 11.06 -5.88 -0.16 -0.69 0.03
2.57 2.06 12.94 -5.31 -0.20 -0.51 -0.01
2.62 2.00 14.06 -4.62 -0.26 -0.46 -0.06
2.67 2.06 15.31 -3.69 -0.26 -0.21 -0.09
2.73 2.38 14.81 -2.88 -0.24 0.52 -0.15
2.78 2.81 11.69 -2.12 -0.20 1.19 -0.14
2.84 3.12 7.12 -1.50 -0.20 1.23 -0.13
2.89 3.62 3.06 -1.00 -0.07 1.31 -0.15
2.95 4.12 -0.88 -1.00 0.01 1.68 -0.15
3.00 4.69 -8.12 -1.25 0.12 2.42 -0.13
3.06 5.06 -14.31 -1.75 0.20 2.18 -0.13
3.11 5.44 -20.25 -2.50 0.27 1.47 -0.12
3.17 5.75 -22.62 -3.38 0.27 0.41 -0.15
3.22 5.88 -24.06 -4.25 0.32 0.80 -0.04
3.28 5.75 -28.25 -5.12 0.28 1.55 0.06
3.33 5.50 -31.00 -5.69 0.23 0.63 0.08
3.39 5.12 -31.94 -6.06 0.17 0.08 0.09
3.44 4.75 -30.06 -6.50 0.19 -0.91 0.05
3.50 4.25 -24.75 -7.06 0.17 -1.93 -0.02
3.55 3.75 -18.12 -7.31 0.05 -2.89 -0.03
3.61 3.25 -7.50 -7.38 -0.04 -3.10 -0.04
3.66 2.81 -0.69 -7.12 -0.15 -1.93 0.03
3.72 2.31 3.94 -6.50 -0.21 -0.91 0.09
3.77 1.88 5.94 -5.88 -0.25 -0.79 0.12
3.83 1.50 9.06 -4.81 -0.33 -0.99 0.01
3.88 1.38 11.62 -3.94 -0.28 -0.75 -0.03
3.94 1.38 13.81 -3.00 -0.26 -0.64 -0.07
3.99 1.56 15.50 -2.31 -0.24 -0.09 -0.13
