Timestamp Yaw Pitch Roll p q r
0.85 0.00 0.00 0.00 -0.02 -0.01 0.00
0.91 0.19 3.56 0.06 0.01 -4.11 -0.27
0.96 1.25 20.75 0.25 0.04 -5.85 -0.30
1.02 2.12 36.00 0.44 0.05 -4.83 -0.20
1.07 2.62 50.25 0.69 -0.02 -3.76 -0.11
1.13 2.81 58.19 1.19 -0.42 -2.07 -0.29
1.18 3.19 63.62 3.12 -0.55 -1.40 -0.49
1.24 3.44 64.88 4.88 -0.54 0.51 -0.35
1.29 3.38 61.06 6.62 -0.44 1.77 -0.33
1.35 2.94 54.00 7.88 -0.36 3.13 -0.26
1.40 2.19 41.94 9.06 -0.24 3.87 -0.22
1.46 1.62 30.50 9.75 -0.07 4.41 -0.19
1.51 0.94 17.12 9.69 0.24 4.89 -0.16
1.56 0.25 1.31 8.62 0.43 4.51 -0.14
1.62 359.81 -10.38 7.06 0.67 3.85 -0.16
1.67 359.44 -20.69 4.50 0.93 1.84 -0.24
1.73 359.62 -23.75 1.56 1.05 0.55 -0.24
1.79 359.56 -23.88 -1.88 1.04 -0.27 -0.12
1.84 359.06 -22.19 -4.50 0.92 -1.22 0.03
1.90 357.94 -16.25 -6.88 0.70 -2.24 0.21
1.95 356.50 -9.38 -8.19 0.40 -2.39 0.37
2.00 354.56 -2.94 -8.69 0.06 -2.30 0.57
2.06 352.06 4.62 -8.38 -0.28 -2.37 0.58
2.11 350.00 10.50 -7.19 -0.65 -2.17 0.54
2.17 347.75 16.19 -4.81 -0.96 -1.50 0.41
2.22 346.25 19.44 -2.38 -1.09 -0.98 0.27
2.28 344.88 21.88 0.81 -1.15 -0.86 0.11
2.33 344.38 23.69 3.62 -1.05 -0.48 -0.10
2.39 344.38 23.88 6.88 -0.87 0.03 -0.28
2.44 344.88 21.44 9.06 -0.58 1.30 -0.43
2.50 345.62 15.00 10.69 -0.17 2.23 -0.49
2.55 346.38 7.69 10.69 0.27 2.64 -0.51
2.61 347.31 -2.06 9.00 0.69 2.73 -0.52
2.66 348.12 -9.19 6.56 0.95 2.28 -0.48
2.72 348.75 -15.38 3.38 1.14 2.17 -0.44
2.77 349.69 -18.00 -1.44 1.54 0.13 -0.49
2.82 350.00 -17.81 -5.81 1.53 35.62 -0.27
2.88 349.56 -15.06 -10.50 1.34 -1.60 -0.08
2.93 348.38 -9.62 -13.69 1.07 -2.38 0.16
2.99 345.94 -1.94 -16.25 0.62 -2.71 0.45
3.04 343.19 3.88 -17.12 0.04 -2.24 0.78
3.10 339.50 10.12 -16.81 -0.43 -1.98 0.81
3.16 336.38 14.69 -15.31 -0.92 -1.84 0.73
3.21 333.50 19.25 -12.69 -1.37 -1.65 0.50
3.26 330.81 23.25 -8.56 -1.59 -1.21 0.26
3.32 329.31 24.62 -4.56 -1.66 -0.23 0.04
3.37 328.44 24.94 0.56 -1.71 -0.35 -0.23
3.43 328.56 25.19 4.94 -1.44 0.02 -0.50
3.48 329.81 24.69 9.50 -1.01 0.32 -0.73
3.54 331.50 21.50 12.19 -0.49 1.38 -0.91
3.59 333.81 13.81 13.50 0.15 2.42 -1.00
3.65 335.81 5.38 12.62 0.82 3.05 -1.04
3.70 338.25 -4.81 9.12 1.28 2.62 -0.99
3.76 340.12 -12.06 4.69 1.62 2.38 -0.90
3.81 342.00 -18.12 -1.88 2.11 0.67 -0.90
3.87 343.25 -18.50 -8.44 2.29 -0.08 -0.62
3.92 343.44 -18.06 -14.81 2.18 -0.57 -0.27
3.97 339.81 -14.62 -21.06 1.75 -1.63 0.17
4.03 337.25 -9.94 -24.81 1.11 -2.78 0.53
4.09 332.75 -1.44 -27.25 0.46 -2.92 0.82
4.14 328.06 4.50 -27.50 -0.38 -2.39 1.16
4.20 322.25 10.19 -25.62 -1.04 -2.24 1.11
4.25 317.75 14.81 -22.31 -1.82 -2.34 0.81
4.31 313.31 20.38 -16.50 -2.22 -2.20 0.43
4.36 310.81 24.12 -10.62 -2.47 -0.92 0.02
4.42 317.44 25.94 -3.00 -2.42 -0.37 -0.36
4.48 317.69 26.50 4.50 -2.13 0.00 -0.77
4.53 -1728.81 26.31 10.19 -1.46 0.49 -1.14
4.59 314.19 23.81 15.38 -0.62 1.06 -1.38
4.65 318.06 17.38 17.81 0.14 2.21 -1.53
4.71 330.19 6.88 16.69 1.07 2.67 -1.57
4.76 333.56 -2.06 12.75 1.87 2.77 -1.53
4.82 329.25 -11.56 5.19 2.33 2.67 -1.39
4.88 332.25 -17.94 -4.06 2.80 1.07 -1.21
4.94 334.19 -18.94 -14.50 2.95 0.18 -0.77
5.00 333.81 -18.12 -23.81 2.62 -0.93 -0.19
