Timestamp Yaw Pitch Roll p q r
0.85 0.00 0.00 0.00 0.10 0.10 -0.01
0.91 0.00 -0.56 -0.62 0.26 0.17 0.03
0.96 0.00 -1.00 -1.19 0.01 0.09 -0.03
1.02 0.00 -1.50 -1.31 0.01 0.06 -0.02
1.08 0.00 -15.00 -8.25 -0.07 0.09 -0.00
1.13 0.06 -15.06 -7.88 -0.32 0.06 -0.02
1.19 0.19 -15.00 -7.38 -0.02 -0.07 -0.01
1.24 0.25 -14.81 -7.19 -0.04 -0.06 -0.01
1.30 0.25 -14.56 -7.12 0.01 -0.08 0.01
1.35 0.25 -14.38 -7.19 0.05 -0.07 0.01
1.41 0.19 -14.19 -7.44 0.10 -0.04 0.00
1.46 0.06 -14.12 -7.69 0.13 -0.02 0.03
1.52 359.88 -14.19 -8.00 0.12 0.02 0.07
1.57 359.62 -14.31 -8.31 0.10 0.03 0.06
1.62 359.50 -14.44 -8.50 0.05 0.05 0.01
1.68 359.50 -14.62 -8.62 0.02 0.06 -0.03
1.73 359.62 -14.75 -8.62 0.00 0.06 -0.02
1.79 359.69 -14.94 -8.62 0.00 0.04 -0.01
1.85 359.69 -14.94 -8.62 -0.00 -0.01 0.01
1.90 359.69 -14.88 -8.62 -0.01 -0.03 0.01
1.95 359.69 -14.75 -8.56 -0.03 -0.04 0.00
2.01 359.69 -14.62 -8.50 -0.03 -0.05 -0.01
2.06 359.69 -14.50 -8.38 -0.04 -0.04 0.00
2.12 359.69 -14.38 -8.25 -0.06 -0.03 0.01
2.17 359.69 -14.25 -8.00 -0.06 -0.03 0.00
2.23 359.75 -14.19 -7.88 -0.05 -0.03 -0.01
2.28 359.75 -14.06 -7.75 -0.02 -0.02 -0.00
2.34 359.75 -14.06 -7.75 0.01 -0.01 0.01
2.39 359.75 -14.06 -7.81 0.03 0.01 0.00
2.45 359.69 -14.12 -7.88 0.04 0.03 -0.00
2.50 359.69 -14.25 -8.06 0.03 0.04 0.00
2.56 359.69 -14.38 -8.12 0.03 0.04 -0.00
2.61 359.69 -14.50 -8.12 0.01 0.04 -0.01
2.67 359.69 -14.56 -8.12 0.00 0.03 -0.01
2.72 359.69 -14.62 -8.12 0.00 0.01 -0.00
2.78 359.69 -14.62 -8.12 -0.00 -0.01 0.00
2.83 359.69 -14.56 -8.12 -0.01 -0.02 0.01
2.89 359.69 -14.50 -8.12 -0.02 -0.02 0.01
2.94 359.69 -14.44 -8.06 -0.03 -0.02 0.00
3.00 359.75 -14.38 -7.94 -0.03 -0.02 -0.01
3.05 0.56 -14.56 -8.19 0.05 0.31 -0.74
3.11 3.06 -15.31 -8.75 -0.10 0.28 -0.48
3.16 5.50 -15.06 -8.50 -0.44 -0.07 -1.24
3.22 9.25 -14.94 -8.88 0.08 0.21 -0.74
3.27 11.88 -14.19 -10.06 0.28 -0.34 -1.03
3.33 -2034.50 -13.25 -11.25 0.03 -0.14 -0.18
3.38 13.38 -13.25 -11.25 -0.04 0.26 0.26
3.44 12.69 -14.38 -10.75 -0.01 0.37 -0.06
3.49 13.62 -16.06 -10.94 -0.16 0.82 -0.24
3.55 14.69 -19.12 -10.06 -0.34 0.85 -0.21
3.60 15.44 -20.06 -9.38 -0.35 0.21 -0.17
3.66 15.69 -20.56 -7.75 -0.48 0.21 0.06
3.71 15.94 -20.88 -6.62 -0.40 0.17 -0.07
3.77 16.50 -21.75 -5.81 -0.38 0.36 -0.07
3.82 16.94 -21.56 -5.12 -0.16 -0.31 -0.06
3.87 17.06 -20.38 -4.81 -0.14 -0.38 0.06
3.93 16.81 -19.81 -4.44 -0.04 -0.12 0.04
3.98 16.94 -19.75 -4.44 0.07 0.18 -0.08
4.04 17.19 -20.81 -5.38 0.38 0.31 -0.22
4.09 17.12 -21.00 -6.50 0.39 -0.13 0.15
4.15 16.62 -20.31 -7.38 0.35 -0.40 0.11
4.20 15.88 -18.81 -8.31 0.32 -0.52 0.15
4.26 15.00 -17.06 -8.94 0.17 -0.59 0.18
4.32 14.38 -15.62 -9.06 0.08 -0.55 0.16
4.37 13.62 -14.38 -9.12 1.21 -0.31 0.42
4.43 18.19 -12.56 -18.69 3.10 -0.22 -2.57
4.48 24.38 -9.69 -28.94 2.34 -0.09 -1.91
4.54 28.31 -7.38 -34.50 1.31 -0.02 -1.21
4.60 31.25 -5.50 -38.06 0.55 0.14 -0.66
4.66 40.62 -5.38 -38.25 -0.54 0.49 -0.02
4.71 40.25 -7.19 -34.75 -1.55 0.51 0.58
4.77 30.81 -9.62 -29.00 -2.23 0.74 0.96
4.83 28.25 -12.69 -19.88 -2.75 0.79 1.23
4.88 25.50 -15.25 -9.69 -2.85 0.74 1.24
4.94 23.50 -16.94 -1.62 -2.47 0.52 0.97
5.00 21.81 -18.44 6.00 -1.67 0.25 0.62
5.06 28.81 -18.94 10.81 -1.02 -0.06 0.43
5.12 28.25 -18.19 12.75 -0.24 -0.08 0.17
5.17 28.38 -16.69 12.31 0.65 -0.64 -0.18
5.23 29.06 -14.12 9.38 1.11 -0.66 -0.28
5.29 29.56 -11.56 4.81 1.48 -0.72 -0.24
5.35 29.81 -9.62 -0.69 1.65 -0.57 -0.25
5.40 21.56 -9.00 -5.44 1.62 -0.04 -0.01
5.46 20.56 -9.44 -10.69 1.55 0.32 0.30
5.52 26.94 -11.19 -15.00 1.28 0.49 0.47
5.58 25.38 -13.50 -17.25 0.75 0.76 0.60
5.63 15.38 -16.75 -18.75 0.57 0.73 0.63
5.69 13.56 -19.56 -18.94 -0.01 0.49 0.61
5.75 12.31 -21.19 -18.25 -0.21 0.17 0.46
5.81 11.12 -21.75 -16.62 -0.55 -0.11 0.36
5.86 10.44 -21.06 -14.19 -0.83 -0.35 0.26
5.92 10.25 -19.44 -11.00 -1.04 -0.34 0.10
5.98 10.56 -17.75 -8.25 -1.01 -0.57 -0.08
6.04 11.44 -15.69 -5.31 -0.87 -0.61 -0.23
6.09 12.69 -13.94 -3.06 -0.61 -0.33 -0.31
6.15 13.75 -12.81 -1.75 -0.45 -0.35 -0.32
6.21 14.88 -11.88 -0.88 -0.17 -0.06 -0.25
6.27 15.56 -11.50 -0.88 0.15 -0.02 -0.20
6.32 15.94 -11.81 -1.75 0.35 0.20 -0.09
6.38 15.94 -12.56 -2.94 0.45 0.33 -0.00
6.44 15.69 -13.88 -4.50 0.53 0.41 0.04
6.49 15.50 -15.19 -5.94 0.55 0.44 -0.02
6.55 15.44 -16.75 -7.69 0.53 0.46 -0.05
6.61 15.50 -18.31 -9.25 0.43 0.41 -0.06
6.67 15.56 -19.38 -10.31 0.26 0.24 -0.02
6.72 15.50 -19.81 -10.75 0.08 0.16 0.01
6.78 15.44 -19.69 -10.75 -0.07 -0.00 0.03
6.84 15.31 -18.94 -10.25 -0.23 -0.31 0.05
6.89 15.19 -18.00 -9.44 -0.36 -0.37 0.08
6.95 15.00 -16.75 -8.19 -0.39 -0.39 0.06
7.01 15.00 -15.56 -6.94 -0.35 -0.30 0.03
7.06 15.00 -14.69 -6.00 -0.31 -0.10 -0.02
7.12 15.19 -13.94 -5.19 -0.21 -0.18 -0.03
7.18 15.31 -13.50 -4.81 -0.04 -0.07 -0.02
7.24 15.25 -13.44 -4.94 0.07 0.04 0.01
7.30 15.12 -13.75 -5.31 0.17 0.14 0.01
7.35 15.12 -14.38 -5.94 0.22 0.22 -0.01
7.41 15.12 -15.06 -6.62 0.22 0.28 -0.05
7.46 15.25 -16.06 -7.38 0.19 0.45 -0.05
7.52 15.44 -17.06 -7.94 0.12 0.27 -0.05
7.58 15.62 -17.81 -8.38 0.06 0.21 -0.03
7.64 15.69 -18.19 -8.56 0.01 0.21 -0.01
7.70 15.69 -18.31 -8.62 0.01 -0.05 -0.00
7.75 15.62 -18.00 -8.50 -0.04 -0.02 0.02
7.81 15.56 -17.56 -8.31 -0.11 -0.06 0.04
7.87 15.38 -16.88 -7.81 -0.16 -0.20 0.06
7.92 15.25 -16.19 -7.25 -0.19 -0.20 0.05
7.98 15.19 -15.56 -6.62 -0.17 -0.01 0.03
8.04 15.19 -15.19 -6.19 -0.15 -0.11 0.01
8.10 15.25 -14.94 -5.88 -0.07 -0.04 -0.02
8.15 15.31 -14.94 -5.81 0.02 0.16 -0.02
8.21 15.31 -15.12 -6.00 0.09 0.09 -0.01
8.27 15.31 -15.50 -6.38 0.11 0.14 -0.01
8.32 15.38 -16.06 -6.75 0.11 0.17 -0.03
8.38 15.44 -16.50 -7.06 0.11 0.17 -0.04
8.44 15.56 -17.06 -7.50 0.09 0.14 -0.03
8.49 15.56 -17.38 -7.75 0.04 0.21 -0.01
8.55 14.62 -18.06 -10.12 2.49 0.46 0.01
