Timestamp Yaw Pitch Roll p q r
0.85 0.00 0.00 0.00 -0.03 -0.02 0.01
0.91 0.06 2.12 0.06 0.00 -2.44 -0.10
0.96 0.50 12.56 0.06 0.05 -3.40 -0.14
1.02 0.94 23.19 0.06 0.03 -4.01 -0.16
1.07 1.44 35.69 0.12 0.09 -3.48 -0.12
1.13 1.69 43.38 0.00 0.15 -2.18 0.02
1.18 1.81 50.19 -0.25 0.10 -1.82 0.05
1.24 0.06 48.94 -3.88 0.25 -1.47 0.26
1.30 358.94 51.50 -5.44 0.21 0.08 0.51
1.35 357.81 50.31 -6.69 0.01 0.85 0.50
1.40 356.31 44.19 -7.75 -0.18 2.28 0.56
1.46 355.06 36.38 -8.12 -0.37 3.01 0.55
1.51 353.94 26.56 -7.75 -0.59 3.76 0.53
1.57 352.69 14.38 -6.12 -0.75 3.40 0.44
1.62 351.88 5.38 -4.31 -0.74 3.21 0.36
1.68 351.12 -4.94 -1.88 -0.72 2.91 0.25
1.73 350.75 -13.25 0.00 -0.63 3.11 0.17
1.79 350.69 -20.69 1.81 -0.45 1.57 0.04
1.84 350.94 -23.12 2.88 -0.39 0.47 -0.12
1.90 351.50 -25.25 3.44 -0.11 0.49 -0.16
1.95 352.12 -26.69 3.44 -0.06 0.62 -0.23
2.00 353.56 -28.69 3.31 -0.87 0.10 -1.28
2.06 1.62 -25.56 4.19 -1.79 -2.36 -2.80
2.11 11.31 -18.31 4.94 -1.25 -2.92 -3.18
2.17 23.19 -8.56 4.12 -0.06 -3.55 -3.47
2.22 33.12 1.81 2.06 0.93 -4.13 -3.43
2.28 44.12 13.81 -1.56 1.95 -3.27 -2.98
2.33 52.25 21.88 -5.19 2.42 -2.27 -2.42
2.39 60.69 26.44 -10.12 2.59 -0.02 -1.76
2.44 66.75 26.12 -14.50 2.47 0.91 -1.41
2.50 73.25 23.94 -19.88 2.25 1.45 -1.11
2.55 77.88 21.75 -24.25 2.04 1.43 -0.86
2.61 81.62 20.56 -28.06 1.54 1.16 -0.62
2.66 85.12 19.06 -31.69 1.15 0.91 -0.43
2.72 87.44 17.56 -33.75 0.76 0.86 -0.39
2.77 89.50 14.88 -34.81 0.14 1.10 -0.15
2.82 91.06 12.50 -34.19 -0.37 0.94 -0.30
2.88 93.06 8.38 -31.56 -1.05 1.53 -0.27
2.93 95.06 3.94 -27.62 -1.69 1.80 -0.39
2.99 98.56 0.06 -21.31 -1.89 1.62 -0.90
3.05 304.19 -4.25 -16.06 -1.95 2.09 -1.05
3.10 309.38 -11.50 -10.19 -1.91 2.98 -1.17
3.16 314.12 -19.62 -6.19 -1.84 2.99 -1.30
3.21 319.44 -25.19 -3.44 -1.60 1.83 -1.58
3.26 326.56 -29.06 -2.06 -1.17 1.18 -1.91
3.32 333.00 -31.12 -2.81 -0.69 0.53 -2.17
3.37 340.94 -33.81 -5.75 -0.16 1.50 -2.27
3.43 347.62 -37.38 -9.50 0.09 1.27 -2.33
3.48 355.56 -37.25 -15.25 0.41 -0.21 -2.49
